codigo,nombre,nombre_corto,sigla,titulo,numero_planes_estudio,codigo_estado,tipo_grupo,monto_tutoria,costo_programa,dep_inicial,siglaNoVersion,siglaNoVersionNumero
128,Maestría en Kinesiología Traumatológica y Deportiva (Sta Cruz),Mae. Kines. Traum. y Deportiva (Sta Cruz),MKTDS,Magister en Kinesiología Traumatológica y Deportiva,1.0,V,T,2250,13750,10.0,MKTDS,0
129,"Maestría en Negocios Financieros, Banca y Cooperativas","Mae. Negocios Fin., Banca y Coop.",MNBC,"Magister en Negocios Financieros, Banca y Cooperativas",1.0,V,T,2250,17250,10.0,MNBC,0
130,"Maestría en Manejo Integrado de Cuencas V.1, Sede Sucre",Mae. en Manejo Integrado de Cuencas V.1 Sede Sucre,MMIC,Magister en Manejo Integrado de Cuencas,1.0,V,T,2250,16500,10.0,MMIC,0
131,Maestría en Psicomotricidad y Estimulación Múltiple Temprana (La Paz),Mae. en Psicomotricidad y E.M.T. (La Paz),EPMT,Magister en Psicomotricidad y Estimulación Múltiple,1.0,V,T,2250,13750,10.0,EPMT,0
132,Maestría en Kinesiología Traumatológica y Deportiva (La Paz),Mae. Kines. Traum. y Deportiva (La Paz),MKTDL,Magister en Kinesiología Traumatológica y Deportiv,1.0,V,T,2250,13750,10.0,MKTDL,0
133,Especialidad en Formulación y Gestión de Proyectos de Desarrollo,Esp. en Form. y Gest. de Proy. de Desarrollo,EEPPD,Especialista en Formulación y Gestión de Proyectos de Desarrollo,1.0,V,T,200,1000,10.0,EEPPD,0
134,"Maestría en Estrategias, Políticas y Proyectos de Desarrollo","Esp. en Est., Pol. y Proy. de Desarrollo",MEPPD,"Magister en Estrategias, Políticas y Proyectos de",1.0,V,T,300,2100,10.0,MEPPD,0
135,Diplomado en Procedimiento del Derecho Civil,Dip. en Proc. del Derecho Civil,DPDC,Diploma en Procedimiento del Derecho Civil,1.0,V,T,750,3750,10.0,DPDC,0
136,Curso Para la Formación de Tutores de Programas Académicos,Curso Para la Formación de Tutores,CPFT,Certificado,1.0,V,T,0,200,100.0,CPFT,0
137,Curso Para la Formación de Tutores de Programas Académicos (Doctorado),Curso Para la Formación de Tutores,CPFTD,Certificado,1.0,V,T,0,200,100.0,CPFTD,0
138,Especialidad en Cirugía Bucal con mención en Implantología,Esp. en Cirugía Bucal mención Implantología,ECBMI,Especialista en Cirugía Bucal con mención en Implantología,1.0,V,T,1500,26250,10.0,ECBMI,0
139,Diplomado en Formación Basada en Competencias,Dip. en Formación Basada en Competencias,DEFBC,Diploma en Formación Basada en Competencias,1.0,V,T,0,400,100.0,DEFBC,0
140,Maestría en Hidrogeología y Recursos Hídricos,Mae. en Hidrogeología y Recursos Hídricos,MHGRH,Magister en Hidrogeología y Recursos Hídricos,1.0,V,T,0,300,100.0,MHGRH,0
141,Encuentro de Doctores y Doctorandos en Ciencias de la Educación,Enc. de Doctores y Doctorandos,EDDEC,Certificado,1.0,V,T,0,450,100.0,EDDEC,0
142,Maestría en Comunicación Intercultural Como Aporte al Desarrollo Sede Sucre,Maestría en Comunicación Intercultural Sede Sucre,MECI,Magíster en Comunicación Intercultural Como Aporte al Desarrollo,1.0,V,T,2250,15000,10.0,MECI,0
143,Maestría en Salud Pública con mención en Gerencia V.2 Sede Sucre,Mae. en Salud Pública mención Gerencia V.2 Sede Sucre,MPMG,Magister en Salud Pública con mención en Gerencia,1.0,V,T,2250,17500,10.0,MPMG,0
144,Maestría en Dirección de Marketing y Competitividad Sucre,Mae. en Dirección de Marketing y Competitividad Su,MDMC,Magister en Dirección de Marketing y Competitividad,1.0,V,T,2250,16500,10.0,MDMC,0
145,Curso de Formación contínua en Administración de Archivos y Bibliotecas,Curso de Administración de Archivos y Bibliotecas,CFCAB,Certificado de Aprobación,1.0,V,T,0,770,54.5454545454545,CFCAB,0
146,Diplomado en Educación Superior La Paz,Dip. en Educación Superior La Paz,DESBA,Diploma en Educación Superior,1.0,V,T,350,1750,10.0,DESBA,0
147,"Especialidad en FonoAudiología, Sede Sucre",Esp. en FonoAudiología,EEFA,Especialista en FonoAudiología,1.0,V,T,1500,3750,10.0,EEFA,0
148,Diplomado en Educación Superior (Montero-Santa Cruz),Dip. en Educación Superior (Montero-Santa Cruz),DESM,Diplomado en Educación Superior,1.0,V,T,750,3750,10.0,DESM,0
149,"Feria Exposición de Ciencia, Tecnología e Innovación",Feria Ciencia y Tecnología,FCTI,Certificado,1.0,V,T,0,0,0.0,FCTI,0
150,Maestría en Medicina del Trabajo y Salud Ocupacional V.2 La Paz,Mae. en Med. del Trab. y Salud Ocup. V.2  La Paz,MMTSO,Magister en Medicina del Trabajo y Salud Ocupacional,1.0,V,T,2250,15000,10.0,MMTSO,0
151,Maestría en Educación Superior Virtual V.4,Mae. en Educ. Sup. Virt. V.4,MESV4,Magister en Educación Superior,1.0,V,T,2250,8250,10.0,MES,MES
152,Doctorado en Ciencias de la Educación V.6 Sede Sucre,Doc. en Cienc. de la Educ. V.6 Sede Sucre,DCEV6,"Doctor en Ciencias de la Educación, Ph. D.",1.0,V,T,4125,35765,10.0,DCE,DCE
153,Doctorado en Ciencias de la Educación V.6 Subsede La Paz,Doc. en Cienc. de la Educ. V.6 Subsede La Paz,DCEV6,"Doctor en Ciencias de la Educación, Ph. D.",1.0,V,T,4125,37500,10.0,DCE,DCE
154,Especialidad en Gestión Administrativa Universitaria,Esp. en Gest. Administrativa Univ.,EEGAU,Especialista en Gestión Administrativa Universitaria,1.0,V,T,1500,4500,11.1111111111111,EEGAU,0
155,Maestría en Medicina del Trabajo y Salud Ocupacional V.2 Subsede Cochabamba,Mae. en Med. del Trab. y Salud Ocup. V.2  Subsede Cbba.,MMTSO,Magíster en Medicina del Trabajo y Salud Ocupacional,1.0,V,T,2250,15000,10.0,MMTSO,0
156,Maestría en Medicina del Trabajo y Salud Ocupacional V.2 Subsede Santa Cruz,Mae. en Med. del Trab. y Salud Ocup. V.2  Subsede Sta.Cruz,MMTSO,Magíster en Medicina del Trabajo y Salud Ocupacional,1.0,V,T,2250,15000,10.0,MMTSO,0
157,Maestría en Salud Pública con mención en Gerencia V.2 Subsede La Paz,Mae. en Salud Pública mención Gerencia V.2 Subsede La Paz,MPMG,Magister en Salud Pública con mención en Gerencia,1.0,V,T,2250,17500,10.0,MPMG,0
158,Maestría en Salud Pública con mención en Gerencia V.2 Subsede Santa Cruz,Mae. en Salud Pública V.2 Subsede Sta. Cruz,MPMG,Magister en Salud Pública con mención en Gerencia,1.0,V,T,2250,17500,10.0,MPMG,0
159,Maestría en Salud Pública con mención en Gerencia V.2 Subsede Trinidad,Mae. en Salud Pública V.2 Subsede Trinidad,MPMG,Magister en Salud Pública con mención en Gerencia,1.0,V,T,2250,17500,10.0,MPMG,0
160,Doctorado en Ciencias de la Educación V.6 Subsede Cochabamba,Doc. en Cienc. de la Educ. V.6 Subsede Cbba.,DCEV6,"Doctor en Ciencias de la Educación, Ph. D.",1.0,V,T,4125,37500,10.0,DCE,DCE
161,Doctorado en Ciencias de la Educación V.6 Santa Cruz,Doc. en Cienc. de la Educ. V.6 Sta. Cruz,DCEV6,"Doctor en Ciencias de la Educación,Ph. D.",1.0,V,T,3750,37875,10.0,DCE,DCE
162,Maestría en Comunicación Intercultural Como Aporte al Desarrollo Oruro,Maestría en Comunicación Intercultural Oruro,MECI,Magister en Comunicación Intercultural,1.0,V,T,2250,15000,10.0,MECI,0
163,Maestría en Comunicación Intercultural Como Aporte al Desarrollo Tarija,Maestría en Comunicación Intercultural Tarija,MECI,Magister en Comunicación Intercultural,1.0,V,T,2250,15000,10.0,MECI,0
164,"Maestría en Dirección de Marketing y Competitividad V.2, Subsede Santa Cruz","Mae. en Direc. de Marketing y Comp. V.2, Subsede Sta Cruz",MDMC,Magister en Dirección de Marketing y Competitividad,1.0,V,T,2250,16500,10.0,MDMC,0
165,"Especialidad en Formulación y Gestión de Proyectos de Desarrollo, V.2, Modalidad Virtual",Esp. en Form. y Gest. de Proy. de Desarrollo V.2,EFGPD,Especialista en Formulación y Gestión de Proyectos de Desarrollo,1.0,V,T,200,1000,10.0,EFGPD,0
166,"Diplomado en Metodologías de Investigación Cualitativa, V.2, Sede Sucre","Dip. en Met. de Inv. Cualitativa, V.2",DMIC2,Diploma en Metodologías de la Investigación Cualitativa,1.0,V,T,750,1875,10.0,DMIC,2
167,"Diplomado en Educación Superior, modalidad Virtual, Versión 9",Dip. en Educ. Sup. V.9,DES9,Diplomado en Educación Superior,1.0,V,A,760,3040,25.0,DES,9
168,"Especialidad en Tributación, Versión III, Subsede La Paz",Esp. en Tributacion V.3,ESPT,Especialista en Tributación,1.0,V,T,1500,7125,10.0,ESPT,0
169,"Especialidad en Tributación, Versión III, Subsede Santa Cruz",Esp. en Tributacion V.3,ESPT,Especialista en Tributación,1.0,V,T,1500,7125,10.0,ESPT,0
170,"Diplomado en Educación Superior, modalidad Virtual, Versión 10",Dip. en Educ. Sup. V.10,DES9,Diploma en Educación Superior,1.0,V,A,760,3040,25.0,DES,9
171,"Maestría en Nutriología Clínica Ortomolecular, Versión I, Sede Sucre",Maest. en Nut. Clínica Ortomolecular,MNCO,Magíster en Nutriología Clínica Ortomolecular,1.0,V,T,2250,15000,10.0,MNCO,0
172,"Maestría en Auditoría de Sistemas, Versión I, Sede Sucre",Maest. en Aud. de Sistemas,MADS,Magíster en Auditoría de Sistemas,1.0,V,T,2250,13750,10.0,MADS,0
173,"Doctorado en Derecho, Versión II, Sede Sucre",Doctorado en Derecho V. 2,DCDE,Doctor en Derecho,1.0,V,T,4125,33375,10.0,DCDE,0
174,"MAESTRIA EN ADMINISTRACIÓN DE JUSTICIA, Versión II, Sede Sucre","Maestria en Adm de Justicia, V.2 Sucre",MAJ2S,MAGISTER EN ADMINISTRACIÓN DE JUSTICIA,1.0,V,T,2250,12000,10.0,MAJ2S,0
175,"MAESTRIA EN ADMINISTRACIÓN DE JUSTICIA, Versión II, Subsede Santa Cruz","Maestria en Adm de Justicia, V.2 Sta. Cruz",MAJ2S,MAGISTER EN ADMINISTRACIÓN DE JUSTICIA,1.0,V,T,2250,12000,10.0,MAJ2S,0
176,"MAESTRIA EN ADMINISTRACIÓN DE JUSTICIA, Versión II, Subsede Cochabamba","Maestria en Adm de Justicia, V.2 Cbba.",MAJ2S,MAGISTER EN ADMINISTRACIÓN DE JUSTICIA,1.0,V,T,2250,12000,10.0,MAJ2S,0
177,"MAESTRIA EN ADMINISTRACIÓN DE JUSTICIA, Versión II, Subsede La Paz","Maestria en Adm de Justicia, V.2 La Paz",MAJ2S,MAGISTER EN ADMINISTRACIÓN DE JUSTICIA,1.0,V,T,2250,12000,10.0,MAJ2S,0
178,"MAESTRIA EN ADMINISTRACIÓN DE JUSTICIA, Versión II, Subsede Tarija","Maestria en Adm de Justicia, V.2 Tarija",MAJ2S,MAGISTER EN ADMINISTRACIÓN DE JUSTICIA,1.0,V,T,2250,12000,10.0,MAJ2S,0
179,"MAESTRIA EN ADMINISTRACIÓN DE JUSTICIA, Versión II, Subsede Pando","Maestria en Adm de Justicia, V.2 Pando",MAJ2S,MAGISTER EN ADMINISTRACIÓN DE JUSTICIA,1.0,V,T,2250,12000,10.0,MAJ2S,0
180,"MAESTRIA EN ADMINISTRACIÓN DE JUSTICIA, Versión II, Subsede Beni","Maestria en Adm de Justicia, V.2 Beni",MAJ2S,MAGISTER EN ADMINISTRACIÓN DE JUSTICIA,1.0,V,T,2250,12000,10.0,MAJ2S,0
181,"MAESTRIA EN ADMINISTRACIÓN DE JUSTICIA, Versión II, Subsede Oruro","Maestria en Adm de Justicia, V.2 Oruro",MAJ2S,MAGISTER EN ADMINISTRACIÓN DE JUSTICIA,1.0,V,T,2250,12000,10.0,MAJ2S,0
182,"MAESTRIA EN ADMINISTRACIÓN DE JUSTICIA, Versión II, Subsede Potosi","Maestria en Adm de Justicia, V.2 Potosi",MAJ2S,MAGISTER EN ADMINISTRACIÓN DE JUSTICIA,1.0,V,T,2250,12000,10.0,MAJ2S,0
183,Maestría en Salud Pública con mención en Gerencia V.2 Subsede Potosí,Mae. en Salud Pública V.2 Potosí,MPMG,Magister en Salud Pública con mención en Gerencia,1.0,V,T,2250,15000,10.0,MPMG,0
184,"MAESTRIA EN FINANZAS CORPORATIVAS Y BANCA, Versión I, Modalidad Virtual","Mae. en Finanzas y Banca, V.1, Virtual",MFBV,MAGISTER EN FINANZAS CORPORATIVAS Y BANCA,1.0,V,T,2250,12750,10.0,MFBV,0
185,"Especialidad en Enfermería Obstétrica y Neonatal, Versión III, Sede Sucre","Esp. en Enf. Obs. y Neonatal, V.III",EEON3,"Especialidad en Enfermería Obstétrica y Neonatal, Versión III, Sede Sucre",1.0,V,T,1500,9750,10.0,EEON,3
186,"Diplomado en Educación Superior, modalidad presencial, Versión I, Villa Vaca Guzmán (Muyupampa)",Dip. en Educ. Sup. Muyupampa,DESMU,Diploma en Educación Superior,1.0,V,A,760,3550,10.0,DESMU,0
187,"Maestría en Tributación, Versión I, Sede Sucre",Maest. Tributación V.1 ,METV1,Magíster en Tributación,1.0,V,T,2250,11750,10.0,MET,MET
188,Maestría en Educación Superior Virtual V.5,Mae. en Educ. Sup. Virt. V.5,MESV5,Magister en Educación Superior,1.0,V,T,2250,8250,10.0,MES,MES
189,"Maestría en Salud Pública con mención en Gerencia, Versión 3, Subsede Santa Cruz",Mae. en Salud Pública V.3 Santa Cruz,MPMG,Magister en Salud Pública con mención en Gerencia,1.0,V,T,2250,15000,10.0,MPMG,0
190,"Maestría en Salud Pública con mención en Gerencia, Versión 3, Montero",Mae. en Salud Pública V.3 Montero,MPMG,Magister en Salud Pública con mención en Gerencia,1.0,V,T,2250,15000,10.0,MPMG,0
191,"Curso de Actualización en Elaboración, Seguimiento y Evaluación de Proyectos de Investigación e Interacción Social","Curso de Actualización en elab., seg. y eval. de proy. de inv.",CAEP,Certificado,1.0,V,T,0,231,100.0,CAEP,0
192,Diplomado en Formación Basada en Competencias V.2,Dip. en Formación Basada en Competencias V.2,DFBC2,Diploma en Formación Basada en Competencias,1.0,V,T,0,400,100.0,DFBC,2
193,"Especialidad en Endodoncia, Versión II, Sede Sucre",Es. en Endodoncia V.2,EEV2,Especialista en Endodoncia,1.0,V,T,1500,28500,10.0,EE,EE
194,"DIPLOMADO EN EDUCACIÓN SUPERIOR, modalidad virtual, Versión XI",Dip. Educ. Sup. V.11,DES11,DIPLOMA EN EDUCACIÓN SUPERIOR,1.0,V,T,760,3040,25.0,DES,11
195,"MAESTRÍA EN COMUNICACIÓN INTERCULTURAL COMO APORTE AL DESARROLLO, VERSIÓN 2, SEDE SUCRE",Mae. Comunicación Int. V.2 Sucre,MECI2,Magíster en Comunicación Intercultural,1.0,V,T,2250,15000,10.0,MECI,2
196,"MAESTRÍA EN COMUNICACIÓN INTERCULTURAL COMO APORTE AL DESARROLLO, VERSIÓN 2, SUBSEDE LA PAZ",Mae. Comunicación Int. V.2 La Paz,MECI2,Magíster en Comunicación Intercultural,1.0,V,T,2250,15000,10.0,MECI,2
197,"MAESTRÍA EN COMUNICACIÓN INTERCULTURAL COMO APORTE AL DESARROLLO, VERSIÓN 2, SUBSEDE SANTA CRUZ",Mae. Comunicación Int. V.2 Sta. Cruz,MECI2,Magíster en Comunicación Intercultural,1.0,V,T,2250,15000,10.0,MECI,2
198,"MAESTRÍA EN COMUNICACIÓN INTERCULTURAL COMO APORTE AL DESARROLLO, VERSIÓN 2, SUBSEDE TARIJA",Mae. Comunicación Int. V.2 Tarija,MECI2,Magíster en Comunicación Intercultural,1.0,V,T,2250,15000,10.0,MECI,2
199,"MAESTRÍA EN COMUNICACIÓN INTERCULTURAL COMO APORTE AL DESARROLLO, VERSIÓN 2, SUBSEDE ORURO",Mae. Comunicación Int. V.2 Oruro,MECI2,Magíster en Comunicación Intercultural,1.0,V,T,2250,15000,10.0,MECI,2
200,Usos del Territorio y Conservación de los Recursos Naturales Renovables,Curso de uso del Territorio y cons. de los RR.NN. renovables,CFCRN,Certificado,1.0,V,T,0,60,100.0,CFCRN,0
201,Maestría en Medicina del Trabajo y Salud Ocupacional V.3 Subsede Santa Cruz,Mae. en Med. del Trab. y Salud Ocup. V.3  Subsede Sta.Cruz,MMTSO,Magíster en Medicina del Trabajo y Salud Ocupacional,1.0,V,T,2250,15000,10.0,MMTSO,0
202,Maestría en Hidrogeología y Recursos Hídricos v.2,Mae. en Hidrogeología y Recursos Hídricos v.2,MHGRH,Magister en Hidrogeología y Recursos Hídricos,1.0,V,T,0,0,0.0,MHGRH,0
203,"Diplomado en Educación Superior, modalidad presencial, Versión I (Monteagudo)",Dip. en Educ. Sup. Monteagudo,DESMO,Diploma en Educación Superior,1.0,V,A,750,3550,10.0,DESMO,0
204,Maestría en Medicina del Trabajo y Salud Ocupacional V.3 Subsede Cochabamba,Mae. en Med. del Trab. y Salud Ocup. V.3  Subsede Cochabamba,MTSOC,Magíster en Medicina del Trabajo y Salud Ocupacional,1.0,V,T,2250,15000,10.0,MTSOC,0
206,Doctorado en Ciencias de la Educación V.6 Subsede Santa Cruz,Doc. en Cienc. de la Educ. V.6 Subsede Santa Cruz,DCEV6,"Doctor en Ciencias de la Educación, Ph.D.",1.0,V,T,4125,37500,10.0,DCE,DCE
207,Doctorado en Ciencias de la Educación V.6 Subsede Tarija,Doc. en Cienc. de la Educ. V.6 Subsede Tarija,DCEV6,"Doctor en Ciencias de la Educación, Ph.D.",1.0,V,T,4125,37500,10.0,DCE,DCE
208,Curso de Formación Contínua en Ética de la Investigación (Bioética),Curso de Ética de la Investigación,CFCEI,Certificado de Aprobación,1.0,V,T,0,400,100.0,CFCEI,0
209,Especialidad en Administración de Instituciones Públicas,Esp. Adm. Inst. Pub.,EAIP,Especialista en Administración de Instituciones Públicas,1.0,V,T,0,0,0.0,EAIP,0
210,Especialidad en Cirugía Bucal con mención en Implantología (Programa de Regularización),Regularización - Esp. en Cirugía Bucal mención Implantología,ECBMI,Especialista en Cirugía Bucal con mención en Implantología,1.0,C,T,0,0,0.0,ECBMI,0
211,Doctorado en Ciencias de la Educación Programa de Regularización,Regularización - Doc. en Cienc. de la Educ. Prog. ,DCEPR,"Doctor en Ciencias de la Educación, Ph.D.",1.0,V,T,0,0,0.0,DCEPR,0
212,Maestría en Medicina del Trabajo y Salud Ocupacional V.3 Subsede La Paz,Mae. en Med. del Trab. y Salud Ocup. V.3  Subsede La Paz,MTSOL,Magíster en Medicina del Trabajo y Salud Ocupacional,1.0,V,T,2250,15000,10.0,MTSOL,0
213,"DIPLOMADO EN EDUCACIÓN SUPERIOR, modalidad virtual, Versión XII",Dip. Educ. Sup. V.12,DES12,DIPLOMA EN EDUCACIÓN SUPERIOR,1.0,V,T,760,3040,25.0,DES,12
214,"DIPLOMADO EN EDUCACIÓN SUPERIOR, modalidad virtual, Programa de Regularización",Regularización - Dip. Educ. Sup. Virtual,DESR,DIPLOMA EN EDUCACIÓN SUPERIOR,1.0,V,T,0,0,0.0,DESR,0
215,"Maestría en Epidemiología de Enfermedades Transmisibles, en Animales de Compañía y de Producción - Muyupampa",Mae. en Epid. Enf. Trans.en Animales - Muyupampa,MEET,"Magíster en Epidemiología de Enfermedades Transmisibles, en Animales de Compañía y de Producción",1.0,V,T,2250,26250,10.0,MEET,0
216,"Maestría en Epidemiología de Enfermedades Transmisibles, en Animales de Compañía y de Producción - Sucre",Mae. en Epid. Enf. Trans.en Animales - Sucre,MEET,"Magíster en Epidemiología de Enfermedades Transmisibles, en Animales de Compañía y de Producción",1.0,V,T,2250,21750,10.0,MEET,0
217,"Maestría en Epidemiología de Enfermedades Transmisibles, en Animales de Compañía y de Producción - Santa Cruz",Mae. en Epid. Enf. Trans.en Animales - Santa Cruz,MEET,"Magíster en Epidemiología de Enfermedades Transmisibles, en Animales de Compañía y de Producción",1.0,V,T,2250,21750,10.0,MEET,0
218,"Maestría en Epidemiología de Enfermedades Transmisibles, en Animales de Compañía y de Producción - Cochabamba",Mae. en Epid. Enf. Trans.en Animales - Cbba,MEET,"Magíster en Epidemiología de Enfermedades Transmisibles, en Animales de Compañía y de Producción",1.0,V,T,2250,21750,10.0,MEET,0
219,"Maestría en Epidemiología de Enfermedades Transmisibles, en Animales de Compañía y de Producción - La Paz",Mae. en Epid. Enf. Trans.en Animales - LP,MEET,"Magíster en Epidemiología de Enfermedades Transmisibles, en Animales de Compañía y de Producción",1.0,V,T,2250,21750,10.0,MEET,0
220,"Maestría en Epidemiología de Enfermedades Transmisibles, en Animales de Compañía y de Producción - Trinidad",Mae. en Epid. Enf. Trans.en Animales - Trinidad,MEET,"Magíster en Epidemiología de Enfermedades Transmisibles, en Animales de Compañía y de Producción",1.0,V,T,2250,21750,10.0,MEET,0
221,Maestría en Educación Superior Virtual V.6,Mae. en Educ. Sup. Virt. V.6,MESV6,Magister en Educación Superior,1.0,V,T,2250,8750,10.0,MES,MES
222,Diplomado en Diseño y Evaluación de Proyectos Sociales,Dip. en Dis. y Eval. de Proy. Sociales,DDEPS,Diplomado en Diseño y Evaluación de Proyectos Sociales,1.0,V,T,760,4040,10.0,DDEPS,0
223,Maestría en Salud Pública con mención en Gerencia V.3 Subsede Sucre,Mae. en Salud Pública V.3 Sucre,MSPMG,Magister en Salud Pública con mención en Gerencia,1.0,V,T,2250,17500,10.0,MSPMG,0
224,Maestría en Salud Pública con mención en Gerencia V.3 Subsede Potosí,Mae. en Salud Pública V.3 Potosí,MSPMG,Magister en Salud Pública con mención en Gerencia,1.0,V,T,2250,17500,10.0,MSPMG,0
225,Diplomado en Formación Basada en Competencias Versión Gestores del Cambio,Dipl. en Form. Basada en Competencias Versión Gestores del Cambio,DFBC0,Diploma en Formación Basada en Competencias,1.0,V,T,0,400,100.0,DFBC,0
226,Ingeniería Estructural Versión 3,Ing.Estructural v.3,MIE3,Magister en Ingeniería Estructural,1.0,V,T,2250,17350,10.0,MIE,3
227,Especialidad en Periodoncia con Mención en Implantología,Esp. en Periodoncia - Men.Implant.,EPMI,Especialista en Periodoncia con Mención en Implantología,1.0,V,T,1500,23000,10.0,EPMI,0
228,"Diplomado en Diseño y Evaluación de Proyectos Sociales, Versión 1, Modalidad Virtual",Dip. en Dis. y Eval. de Proy. Sociales 1.1 Virtual,DDEPS,Diplomado en Diseño y Evaluación de Proyectos Sociales,1.0,V,T,760,3040,25.0,DDEPS,0
